name,woba
"McCann, Kyle",0.304
"Taylor, Tyrone",0.304
"Kelly, Carson",0.304
"Brennan, Will",0.303
"Palacios, Richie",0.303
"Díaz, Elias",0.303
"Carpenter, Matt",0.303
"Manzardo, Kyle",0.303
"Hays, Austin",0.303
"Renfroe, Hunter",0.302
"DeJong, Paul",0.302
"Lopez, Otto",0.302
"Tellez, Rowdy",0.301
"Keith, Colt",0.301
"Heyward, Jason",0.3
"Fermin, Freddy",0.3
"Bogaerts, Xander",0.3
"Rosario, Amed",0.299
"Kiner-Falefa, Isiah",0.299
"Pérez, Wenceel",0.299
"Lowe, Josh",0.299
"Alexander, Blaze",0.298
"Newman, Kevin",0.298
"Springer, George",0.298
"Benintendi, Andrew",0.298
"Kepler, Max",0.298
"Martin, Austin",0.297
"Pham, Tommy",0.297
"Kirk, Alejandro",0.297
"Clement, Ernie",0.297
"Adell, Jo",0.296
"Hill, Derek",0.296
"García, Adolis",0.296
"France, Ty",0.296
"Cave, Jake",0.295
"Schneemann, Daniel",0.295
"Stott, Bryson",0.295
"Torkelson, Spencer",0.295
"Grisham, Trent",0.295
"Bauers, Jake",0.294
"Jansen, Danny",0.294
"Kelenic, Jarred",0.294
"Turang, Brice",0.294
"Pillar, Kevin",0.293
"Frelick, Sal",0.293
"Cabrera, Oswaldo",0.292
"Melendez, MJ",0.292
"Rivera, Emmanuel",0.291
"Malloy, Justyn-Henry",0.291
"Stewart, DJ",0.29
"Young, Jacob",0.29
"Gorman, Nolan",0.29
"Sheets, Gavin",0.29
"Barnes, Austin",0.289
"Brown, Seth",0.289
"Crow-Armstrong, Pete",0.289
"Polanco, Jorge",0.288
"Perkins, Blake",0.288
"Fairchild, Stuart",0.288
"McCann, James",0.288
"Bryant, Kris",0.287
"Ibáñez, Andy",0.287
"Volpe, Anthony",0.287
"Jones, Nolan",0.287
"Isbel, Kyle",0.286
"Thaiss, Matt",0.286
"Tena, José",0.286
"Pagés, Pedro",0.286
"Dubón, Mauricio",0.286
"Rafaela, Ceddanne",0.286
"Bader, Harrison",0.286
"Mateo, Jorge",0.286
"Benson, Will",0.285
"Rizzo, Anthony",0.285
"Robert Jr., Luis",0.285
"Hernández, Enrique",0.285
"Espinal, Santiago",0.285
"Rojas, Josh",0.285
"Biggio, Cavan",0.285
"Meyers, Jake",0.285
"Rortvedt, Ben",0.284
"Kirilloff, Alex",0.284
"Amaya, Miguel",0.284
"Lee, Jung Hoo",0.284
"Trevino, Jose",0.284
"Verdugo, Alex",0.284
"Farmer, Kyle",0.283
"Toro, Abraham",0.283
"Crawford, J.P.",0.283
"Merrifield, Whit",0.283
"De La Cruz, Bryan",0.283
"Freeman, Tyler",0.283
"Grossman, Robbie",0.283
"Martínez, Angel",0.282
"Murphy, Sean",0.282
"Taveras, Leody",0.282
"Campusano, Luis",0.282
"Davis, J.D.",0.282
"Baty, Brett",0.282
"Giménez, Andrés",0.281
"Urshela, Gio",0.281
"Bailey, Patrick",0.281
"Garver, Mitch",0.281
"Schuemann, Max",0.281
"Moniak, Mickey",0.281
"Velázquez, Nelson",0.28
"Sosa, Lenyn",0.28
"Canzone, Dominic",0.28
"Morel, Christopher",0.28
"Martini, Nick",0.279
"Carter, Evan",0.278
"Caballero, José",0.277
"Schneider, Davis",0.277
"Haniger, Mitch",0.277
"Jiménez, Eloy",0.276
"Rocchio, Brayan",0.276
"Julien, Edouard",0.276
"Gelof, Zack",0.276
"Margot, Manuel",0.276
"Nevin, Tyler",0.276
"Bruján, Vidal",0.276
"Olivares, Edward",0.276
"Triolo, Jared",0.275
"Valdez, Enmanuel",0.275
"Lopez, Nicky",0.275
"Gallo, Joey",0.274
"Goodman, Hunter",0.274
"Senzel, Nick",0.273
"Slater, Austin",0.273
"Arcia, Orlando",0.273
"Wisely, Brett",0.272
"Taylor, Chris",0.272
"Gordon, Nick",0.271
"Wisdom, Patrick",0.271
"Vargas, Ildemaro",0.271
"McKinstry, Zach",0.27
"Garcia, Maikel",0.27
"Siri, Jose",0.27
"DeLuca, Jonny",0.269
"Naylor, Bo",0.269
"Rice, Ben",0.269
"Loperfido, Joey",0.268
"Duran, Ezequiel",0.268
"Walker, Jordan",0.268
"Ruiz, Keibert",0.268
"Stowers, Kyle",0.265
"Heim, Jonah",0.265
"Ramírez, Harold",0.265
"Rojas, Johan",0.265
"Rogers, Jake",0.264
"Rendon, Anthony",0.264
"Meneses, Joey",0.264
"Bichette, Bo",0.264
"Arias, Gabriel",0.263
"Guillorme, Luis",0.263
"Barger, Addison",0.262
"Flores, Wilmer",0.262
"Frazier, Adam",0.261
"Julks, Corey",0.26
"Suwinski, Jack",0.26
"McGuire, Reese",0.259
"Stubbs, Garrett",0.258
"Cameron, Daz",0.258
"Siani, Michael",0.257
"Carlson, Dylan",0.257
"McCormick, Chas",0.257
"Estrada, Thairo",0.256
"Lee, Korey",0.256
"Hayes, Ke'Bryan",0.256
"Montero, Elehuris",0.254
"Fortes, Nick",0.253
"Hampson, Garrett",0.253
"Pache, Cristian",0.252
"Lee, Brooks",0.252
"Duvall, Adam",0.252
"Holliday, Jackson",0.251
"Matos, Luis",0.25
"Vázquez, Christian",0.25
"Ahmed, Nick",0.248
"Walls, Taylor",0.245
"Marte, Noelvi",0.243
"Loftin, Nick",0.242
"Wade, Tyler",0.242
"Outman, James",0.242
"Kiermaier, Kevin",0.241
"Taylor, Michael A.",0.241
"LeMahieu, DJ",0.239
"Maile, Luke",0.238
"Jankowski, Travis",0.234
"Vargas, Miguel",0.233
"Beck, Jordan",0.231
"Lipscomb, Trey",0.231
"Rosario, Eddie",0.23
"Fletcher, Dominic",0.227
"Báez, Javier",0.224
"Scott II, Victor",0.221
"Drury, Brandon",0.217
"Anderson, Tim",0.208
"Jackson, Alex",0.2
